REGIÓN,COMUNA,BIENESTAR,ECONOMÍA,EDUCACIÓN,IDC_2020,RANKING,RANGOS,Población_2017,Población_2002,Población_1992,Macroregioes
ARAUCANÍA,VICTORIA,714.1999999999999,154.0,669.4,419.1,108,Medio,34182.0,33552.0,32830.0,Zona Sur
COQUIMBO,VICUÑA,855.4000000000001,74.0,637.0,342.9,203,Medio bajo,27771.0,23665.0,21303.0,Zona Norte Chico
ARAUCANÍA,VILCÚN,557.8,49.6,659.5999999999999,263.29999999999995,297,Bajo,28151.0,22348.0,20667.0,Zona Sur
MAULE,VILLA ALEGRE,776.2,77.5,560.0,322.90000000000003,226,Medio bajo,16221.0,14628.0,15106.0,Zona Central
VALPARAÍSO,VILLA ALEMANA,933.6,183.7,762.9,507.7000000000001,53,Medio alto,126548.0,95364.0,71204.0,Zona Central
ARAUCANÍA,VILLARRICA,730.0,121.5,784.8000000000001,411.3,118,Medio,55478.0,45436.0,35664.0,Zona Sur
RM,VITACURA,994.6,498.2,900.2,764.1,4,Alto,85384.0,80389.0,77343.0,Zona Central
VALPARAÍSO,VIÑA DEL MAR,916.0,444.7,759.6,676.4,6,Alto,334248.0,285937.0,283383.0,Zona Central
MAULE,YERBAS BUENAS,725.7,60.5,611.5,299.5,255,Medio bajo,18081.0,15960.0,15448.0,Zona Central
BIOBÍO,YUMBEL,676.3000000000001,68.9,649.3,311.6,238,Medio bajo,21198.0,20454.0,20469.0,Zona Sur
BIOBÍO-ÑUBLE,YUNGAY,740.9,93.9,695.3000000000001,364.4,167,Medio bajo,17787.0,16674.0,15172.0,Zona Sur
VALPARAÍSO,ZAPALLAR,858.7,195.9,703.3000000000001,491.0,61,Medio alto,7339.0,5532.0,4368.0,Zona Central
BIOBÍO-ÑUBLE,ÑIQUÉN,661.5,51.4,576.5,269.7,292,Bajo,11152.0,11417.0,12923.0,Zona Sur
RM,ÑUÑOA,968.1,360.1,825.4,660.2,7,Alto,208237.0,162481.0,170093.0,Zona Central
