Comuna,Esperanza_vida,Tasa_matriculación_combinada,Alfabetismo_adulto,PIB_per_cápita,Índice_PIB,Índice_alfabetización,Índice_matriculación,Índice_nivelEducacional,Índice_esperanza_vida,IDH_2005,State,Pop_total_2005,Pop_Urban,Pop_Rural,PopUrban_percent_total,Pop_Hombre,Pop_Mujer,Indice_Hombre,Macroregioes
COATEPEQUE,69.5,54.5,72.5,"2,727",552.0,725.0,545.0,665.0,742.0,653.0,Santa Ana,45535.0,7149.0,38386.0,15.7,22688.0,22847.0,0.99,Zona occidental
EL CONGO,72.6,60.7,81.3,"3,183",578.0,813.0,607.0,745.0,793.0,705.0,Santa Ana,27619.0,1617.0,11449.0,58.5,14037.0,13583.0,1.03,Zona occidental
EL PORVENIR,69.8,61.9,76.8,"2,840",559.0,768.0,619.0,718.0,747.0,675.0,Santa Ana,6619.0,1338.0,5281.0,20.2,345.0,3169.0,1.09,Zona occidental
MASAHUAT,69.6,60.2,55.3,"1,794",482.0,553.0,602.0,569.0,743.0,598.0,Santa Ana,4113.0,6780.0,3435.0,16.5,206.0,2053.0,1.0,Zona occidental
Santa Ana METAPÁN,70.9,51.8,70.8,"4,429",633.0,708.0,518.0,645.0,764.0,681.0,Santa Ana,57067.0,19818.0,37249.0,34.7,27726.0,29341.0,0.94,Zona occidental
SAN ANTONIO PAJONAL,71.2,55.5,66.0,"3,150",576.0,660.0,555.0,625.0,770.0,657.0,Santa Ana,4028.0,1604.0,2424.0,39.8,1938.0,209.0,0.93,Zona occidental
SAN SEBASTIÁN SALITRILLO,69.3,51.0,80.8,"3,702",603.0,808.0,510.0,708.0,738.0,683.0,Santa Ana,12689.0,1583.0,11107.0,12.5,6522.0,6167.0,1.06,Zona occidental
SANTA ANA,74.3,63.9,85.9,"5,396",666.0,859.0,639.0,786.0,821.0,758.0,Santa Ana,261568.0,217067.0,44501.0,83.0,123342.0,138226.0,0.89,Zona occidental
SANTA ROSA GUACHIPILÍN,69.2,63.7,64.4,"2,253",520.0,644.0,637.0,641.0,736.0,633.0,Santa Ana,6185.0,6690.0,5516.0,10.8,2861.0,3324.0,0.86,Zona occidental
SANTIAGO DE LA FRONTERA,70.2,38.5,63.1,"1,808",483.0,631.0,385.0,549.0,754.0,595.0,Santa Ana,6589.0,1677.0,4912.0,25.5,343.0,3159.0,1.09,Zona occidental
TEXISTEPEQUE,69.3,56.7,73.3,"3,183",578.0,733.0,567.0,678.0,738.0,665.0,Santa Ana,18143.0,2245.0,15898.0,12.4,8688.0,9455.0,0.92,Zona occidental
ACAJUTLA,70.5,58.1,76.0,"3,719",604.0,760.0,581.0,700.0,758.0,687.0,Sonsonate,61135.0,21855.0,3928.0,35.7,30771.0,30364.0,1.01,Zona occidental
ARMENIA,71.0,54.1,75.8,"3,736",604.0,758.0,541.0,686.0,766.0,685.0,Sonsonate,25444.0,10883.0,14561.0,42.8,12348.0,13096.0,0.94,Zona occidental
CALUCO,68.4,55.1,69.5,"1,590",462.0,695.0,551.0,647.0,724.0,611.0,Sonsonate,8341.0,6110.0,773.0,7.3,4306.0,4035.0,1.07,Zona occidental
CUISNAHUAT,69.5,54.6,73.3,"1,574",460.0,733.0,546.0,671.0,742.0,624.0,Sonsonate,12832.0,2917.0,9915.0,22.7,6598.0,6234.0,1.06,Zona occidental
IZALCO,69.9,55.7,76.6,"3,150",576.0,766.0,557.0,696.0,748.0,673.0,Sonsonate,74668.0,20421.0,54247.0,27.3,37206.0,37463.0,0.99,Zona occidental
JUAYÚA,70.9,63.3,78.8,"4,456",634.0,788.0,633.0,736.0,765.0,712.0,Sonsonate,26475.0,11033.0,15442.0,41.7,12526.0,13948.0,0.9,Zona occidental
NAHUILINGO,69.8,62.4,78.4,"4,264",626.0,784.0,624.0,731.0,746.0,701.0,Sonsonate,11311.0,2962.0,8349.0,26.2,5581.0,573.0,0.97,Zona occidental
NAHUIZALCO,69.4,50.6,67.8,"2,706",550.0,678.0,506.0,620.0,741.0,637.0,Sonsonate,4239.0,9002.0,33388.0,21.2,20726.0,21664.0,0.96,Zona occidental
Sonsonate SALCOATITÁN,71.7,59.9,75.2,"3,158",576.0,752.0,599.0,701.0,778.0,685.0,Sonsonate,7052.0,372.0,3332.0,52.8,3631.0,3421.0,1.06,Zona occidental
SAN ANTONIO DEL MONTE,71.4,60.2,82.7,"4,195",624.0,827.0,602.0,752.0,773.0,716.0,Sonsonate,22938.0,11227.0,11711.0,48.9,1129.0,11648.0,0.97,Zona occidental
SAN JULIÁN,68.5,55.9,70.2,"2,340",526.0,702.0,559.0,655.0,725.0,635.0,Sonsonate,18266.0,1526.0,16739.0,8.4,9756.0,8509.0,1.15,Zona occidental
SANTA CATARINA MASAHUAT,70.5,50.1,62.0,"2,093",508.0,620.0,501.0,580.0,758.0,615.0,Sonsonate,8635.0,3085.0,555.0,35.7,4358.0,4277.0,1.02,Zona occidental
SANTA ISABEL ISHUATÁN,68.4,61.2,69.8,"2,035",503.0,698.0,612.0,669.0,724.0,632.0,Sonsonate,979.0,6670.0,9123.0,6.8,5014.0,4776.0,1.05,Zona occidental
SANTO DOMINGO DE GUZMÁN,69.2,66.7,67.2,"1,820",484.0,672.0,667.0,670.0,736.0,630.0,Sonsonate,7277.0,1279.0,5998.0,17.6,3565.0,3713.0,0.96,Zona occidental
SONSONATE,71.4,60.3,81.9,"4,907",650.0,819.0,603.0,747.0,774.0,724.0,Sonsonate,91836.0,45438.0,46398.0,49.5,43955.0,47881.0,0.92,Zona occidental
SONZACATE,74.3,70.8,91.3,"8,443",740.0,913.0,708.0,845.0,821.0,802.0,Sonsonate,19982.0,17974.0,2008.0,90.0,9192.0,1079.0,0.85,Zona occidental
ALEGRÍA,70.6,61.3,70.5,"2,068",506.0,705.0,613.0,674.0,760.0,647.0,Usulután,13752.0,5809.0,7943.0,42.2,7041.0,6711.0,1.05,Zona oriental
BERLÍN,70.6,55.4,68.1,"2,795",556.0,681.0,554.0,639.0,760.0,651.0,Usulután,17952.0,7566.0,10386.0,42.1,9123.0,8829.0,1.03,Zona oriental
CALIFORNIA,72.7,65.3,70.5,"3,474",592.0,705.0,653.0,688.0,794.0,691.0,Usulután,2591.0,1847.0,7440.0,71.3,1171.0,142.0,0.82,Zona oriental
CONCEPCIÓN BATRES,68.5,53.7,58.9,"2,320",525.0,589.0,537.0,571.0,725.0,607.0,Usulután,13069.0,1569.0,115.0,12.0,638.0,6689.0,0.95,Zona oriental
EL TRIUNFO,71.9,61.4,74.4,"3,422",590.0,744.0,614.0,700.0,781.0,690.0,Usulután,6339.0,3803.0,2536.0,60.0,3128.0,3211.0,0.97,Zona oriental
EREGUAYQUÍN,69.2,58.8,66.8,"3,107",574.0,668.0,588.0,642.0,736.0,651.0,Usulután,7059.0,1556.0,5503.0,22.0,3376.0,3683.0,0.92,Zona oriental
ESTANZUELAS,69.4,57.1,66.6,"1,906",492.0,666.0,571.0,634.0,741.0,622.0,Usulután,10102.0,2578.0,7524.0,25.5,4612.0,549.0,0.84,Zona oriental
JIQUILISCO,69.3,61.5,71.1,"3,507",594.0,711.0,615.0,679.0,739.0,671.0,Usulután,39215.0,9441.0,29774.0,24.1,19693.0,19522.0,1.01,Zona oriental
JUCUAPA,71.4,62.4,77.2,"3,900",611.0,772.0,624.0,723.0,773.0,702.0,Usulután,16226.0,8601.0,7625.0,53.0,7657.0,8569.0,0.89,Zona oriental
JUCUARÁN,68.5,67.2,65.9,"2,458",534.0,659.0,672.0,664.0,724.0,641.0,Usulután,12846.0,1497.0,1135.0,11.6,6604.0,6242.0,1.06,Zona oriental
MERCEDES UMAÑA,69.3,53.7,66.4,"2,308",524.0,664.0,537.0,621.0,738.0,628.0,Usulután,13866.0,328.0,10586.0,23.7,6739.0,7127.0,0.95,Zona oriental
Usulután NUEVA GRANADA,69.4,54.3,57.7,"1,583",461.0,577.0,543.0,566.0,739.0,589.0,Usulután,8307.0,2037.0,627.0,24.5,3861.0,4446.0,0.87,Zona oriental
OZATLÁN,69.8,56.0,71.3,"2,740",553.0,713.0,560.0,662.0,746.0,653.0,Usulután,12127.0,3677.0,845.0,30.3,5846.0,6281.0,0.93,Zona oriental
PUERTO EL TRIUNFO,71.6,57.7,70.9,"3,577",597.0,709.0,577.0,665.0,777.0,680.0,Usulután,17091.0,9646.0,7445.0,56.4,8699.0,8392.0,1.04,Zona oriental
SAN AGUSTIN,69.9,59.9,64.6,"2,020",502.0,646.0,599.0,630.0,748.0,627.0,Usulután,4448.0,142.0,3028.0,31.9,2208.0,224.0,0.99,Zona oriental
SAN BUENAVENTURA,69.3,60.4,75.8,"3,012",568.0,758.0,604.0,707.0,738.0,671.0,Usulután,4565.0,1057.0,3508.0,23.2,2245.0,232.0,0.97,Zona oriental
SAN DIONISIO,69.0,55.6,65.4,"2,900",562.0,654.0,556.0,621.0,733.0,639.0,Usulután,8655.0,1627.0,7028.0,18.8,4072.0,4583.0,0.89,Zona oriental
SAN FRANCISCO JAVIER,69.1,51.5,63.6,"1,719",475.0,636.0,515.0,596.0,735.0,602.0,Usulután,605.0,1253.0,4798.0,20.7,2994.0,3056.0,0.98,Zona oriental
SANTA ELENA,70.1,59.6,70.8,"2,959",565.0,708.0,596.0,671.0,752.0,663.0,Usulután,15464.0,5464.0,10001.0,35.3,7109.0,8355.0,0.85,Zona oriental
SANTA MARÍA,68.5,71.8,70.6,"4,148",622.0,706.0,718.0,710.0,725.0,686.0,Usulután,9987.0,1259.0,8728.0,12.6,4662.0,5325.0,0.88,Zona oriental
SANTIAGO DE MARÍA,71.9,63.5,78.3,"4,012",616.0,783.0,635.0,734.0,782.0,711.0,Usulután,17291.0,10507.0,6784.0,60.8,8184.0,9108.0,0.9,Zona oriental
TECAPÁN,68.6,51.6,58.6,"2,168",513.0,586.0,516.0,563.0,727.0,601.0,Usulután,11462.0,1645.0,9817.0,14.4,5524.0,5937.0,0.93,Zona oriental
USULUTÁN,72.2,62.2,80.4,"4,816",647.0,804.0,622.0,743.0,786.0,725.0,Usulután,70347.0,45337.0,2501.0,64.4,3211.0,38237.0,0.84,Zona oriental
